easingOrder,stayAtHome,mandatoryQuarantine,nonEssentialBusiness,largeGatherings,schoolClosure,restaurantLimit,barClosures,faceCoveringRequirement,PrimaryElectionPostponement,emergencyDeclaration,waiveTreatmentCost,freeVaccine,waiverOfPriorAuthorizationRequirements,prescriptionRefill,premiumPaymentGracePeriod,marketplaceSpecialEnrollmentPeriod,section1135Waiver,paidSickLeaves,expandsAccesstoTelehealthServices,id,lastSavedTimestamp,numSavedVersions,savedVersion,location.id
Proceeding with Reopening,Rolled Back to High Risk Groups,No Action,All Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Closed for School Year,Reopened to Dine-in Service,Reopened,Required for Certain Employees; Allows Local Officials to Require for General Public,Postponed,Yes,No Action,No Action,No Action,State Requires,Expired,No,Approved,No Action,No,Georgia_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Georgia_UnitedStates
New Restrictions Imposed,New Stay at Home Order,All Travelers,Some Non-Essential Businesses Permitted to Reopen,New Limit on Large Gatherings in Place,Closed for School Year,New Service Limits,New Service Limits,Required for General Public,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,Yes,Hawaii_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Hawaii_UnitedStates
Paused,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Recommended Closure,Reopened to Dine-in Service with Capacity Limits,Reopened,No,No,Yes,State-Insurer Agreement,No Action,No Action,No Action,No Action,No,Approved,No Action,Yes,Idaho_UnitedStates_Policy,2020-09-12T02:52:54Z,6,-1,Idaho_USA
Paused,Lifted,No Action,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,No,Yes,No Action,No Action,No Action,No Action,All Policies,No,Approved,No Action,Yes,Illinois_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Illinois_UnitedStates
Paused,Lifted,No Action,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Closed,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Postponed,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,Yes,Indiana_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Indiana_UnitedStates
Reopened,No Action,No Action,All Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Closed for School Year,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,Yes,Iowa_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Iowa_UnitedStates
Reopened,Lifted,From Certain States,All Non-Essential Businesses Permitted to Reopen,Lifted,Closed for School Year,Reopened to Dine-in Service,Reopened,Required for General Public,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,Yes,Kansas_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Kansas_UnitedStates
New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen,New Limit on Large Gatherings in Place,Recommended Closure for School Year,New Service Limits,New Service Limits,Required for General Public,Postponed,Yes,No Action,State Requires,For COVID-19 Testing,State Requires,No Action,No,Approved,Proposed - March 2020,Yes,Kentucky_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Kentucky_UnitedStates
New Restrictions Imposed,Lifted,No Action,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,New Limit on Large Gatherings in Place,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,Postponed,Yes,No Action,State Requires,For COVID-19 Testing,State Requires,Expired,No,Approved,No Action,Yes,Louisiana_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Louisiana_UnitedStates
Proceeding with Reopening,Lifted,All Travelers,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Recommended Closure for School Year,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Postponed,Yes,No Action,State Requires,For COVID-19 Testing,State Requires,No Action,No,Approved,No Action,Yes,Maine_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Maine_UnitedStates
Proceeding with Reopening,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Postponed,Yes,No Action,State Requires,No Action,State Requires,Grace Period Extended for All Individual Policies,Ended,Approved,Enacted,Yes,Maryland_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Maryland_UnitedStates
New Restrictions Imposed,Rolled Back to High Risk Groups,All Travelers,Some Non-Essential Businesses Permitted to Reopen,New Limit on Large Gatherings in Place,Closed for School Year,New Service Limits,Closed,Required for General Public,No,Yes,State Requires,State Requires,For COVID-19 Testing and Treatment,State Requires,No Action,Ended,Approved,Enacted,Yes,Massachusetts_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Massachusetts_UnitedStates
New Restrictions Imposed,Lifted,No Action,Some Non-Essential Businesses Permitted to Reopen,New Limit on Large Gatherings in Place,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,No,Yes,State-Insurer Agreement,No Action,No Action,Expired,No Action,No,Approved,No Action,Yes,Michigan_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Michigan_UnitedStates
Proceeding with Reopening,Lifted,No Action,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,No,Yes,State-Insurer Agreement,No Action,No Action,No Action,No Action,Ended,Approved,No Action,No,Minnesota_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Minnesota_UnitedStates
New Restrictions Imposed,Lifted,No Action,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,New Limit on Large Gatherings in Place,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,New Service Limits,Required for General Public,Postponed,Yes,No Action,No Action,No Action,No Action,Expired,No,Approved,No Action,Yes,Mississippi_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Mississippi_UnitedStates
Reopened,Lifted,No Action,All Non-Essential Businesses Permitted to Reopen,Lifted,Closed for School Year,Reopened to Dine-in Service,Reopened,No,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,No,Missouri_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Missouri_UnitedStates
Proceeding with Reopening,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Rescinded,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,Yes,Montana_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Montana_UnitedStates
Proceeding with Reopening,No Action,Rolled Back to International Travel,No Action,Expanded to New Limit of 25 or Fewer,Closed,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for Certain Employees,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,Yes,Nebraska_UnitedStates_Policy,2020-09-12T02:52:54Z,4,-1,Nebraska_UnitedStates
New Restrictions Imposed,Lifted,No Action,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,No,Yes,No Action,State Requires,No Action,No Action,No Action,Ended,Approved,No Action,No,Nevada_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,Nevada_UnitedStates
Proceeding with Reopening,Lifted,No Action,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,No,Yes,No Action,No Action,For COVID-19 Testing,State Requires,No Action,No,Approved,No Action,Yes,New Hampshire_UnitedStates_Policy,2020-09-12T02:52:54Z,5,-1,NewHampshire_UnitedStates
New Restrictions Imposed,Lifted,From Certain States (New),Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,New Limit on Large Gatherings in Place,Closed,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Postponed,Yes,No Action,No Action,No Action,No Action,Expired,No,Approved,Enacted,Yes,New Jersey_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,NewJersey_UnitedStates
Proceeding with Reopening,Lifted,Rolled Back to Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25 or Fewer,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,No,Yes,State Requires,No Action,No Action,No Action,No Action,No,Approved,No Action,Yes,New Mexico_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,NewMexico_UnitedStates
Proceeding with Reopening,Rolled Back to High Risk Groups,From Certain States (New),Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Canceled,Yes,No Action,State Requires,No Action,No Action,COVID-19 Diagnosis/Impacts Only,Active,Approved,Enacted,Yes,New York_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,NewYork_UnitedStates
Proceeding with Reopening,Lifted,No Action,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25 or Fewer,Closed,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,No,Yes,No Action,No Action,No Action,No Action,Expired,No,Approved,No Action,Yes,North Carolina_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,NorthCarolina_UnitedStates
Reopened,No Action,Rolled Back to International Travel,All Non-Essential Businesses Permitted to Reopen,No Action,Closed,Reopened to Dine-in Service,Reopened,No,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,Yes,North Dakota_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,NorthDakota_UnitedStates
Proceeding with Reopening,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25 or Fewer,Closed for School Year,Reopened to Dine-in Service,New Service Limits,Required for General Public,Postponed,Yes,No Action,No Action,No Action,No Action,All Policies,No,Approved,No Action,Yes,Ohio_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,Ohio_UnitedStates
Reopened,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Reopened,No,No,Yes,No Action,No Action,For COVID-19 Testing and Treatment,Expired,Expired,No,Approved,No Action,No,Oklahoma_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,Oklahoma_UnitedStates
New Restrictions Imposed,Lifted,No Action,Some Non-Essential Businesses Permitted to Reopen,New Limit on Large Gatherings in Place,Closed for School Year,New Service Limits,New Service Limits,Required for General Public,No,Yes,No Action,State-Insurer Agreement,No Action,No Action,Expired,No,Approved,Enacted,Yes,Oregon_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,Oregon_UnitedStates
New Restrictions Imposed,Lifted,No Action,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,New Limit on Large Gatherings in Place,Closed for School Year,New Service Limits,Newly Closed,Required for General Public,No,Yes,No Action,No Action,For COVID-19 Testing,No Action,No Action,No,Approved,No Action,No,Pennsylvania_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,Pennsylvania_UnitedStates
New Restrictions Imposed,Lifted,Rolled Back to Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25 or Fewer,Closed,Reopened to Dine-in Service with Capacity Limits,New Service Limits,Required for General Public,Postponed,Yes,No Action,State Requires,For COVID-19 Testing and Treatment,State Requires,No Action,Ended,Approved,Enacted,Yes,Rhode Island_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,RhodeIsland_UnitedStates
New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,Lifted,Closed for School Year,New Service Limits,New Service Limits,Allows Local Officals to Require for General Public,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,No,South Carolina_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,SouthCarolina_UnitedStates
Reopened,No Action,No Action,No Action,Lifted,Recommended Closure for School Year,No Action,Reopened,No,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,Yes,South Dakota_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,SouthDakota_UnitedStates
Proceeding with Reopening,Lifted,No Action,All Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Recommended Closure for School Year,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,No,Tennessee_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,Tennessee_UnitedStates
New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,New Limit on Large Gatherings in Place,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,Yes,Texas_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,Texas_UnitedStates
Proceeding (19); Paused (6); New Restrictions Imposed (19); Reopened (7),Original Stay at Home Order in Place (1); Stay at Home Order Eased or Lifted (43); New Stay at Home Order in Place (1); No Action (6),Original Traveler Quarantine Mandate in Place (5); New Traveler Quarantine Mandate in Place (4); Traveler Quarantine Mandate Eased or Lifted (20); No Action (22),Some or All Non-Essential Businesses Permitted to Reopen (42); New Business Closures or Limits (4); No Action (5),Original Gathering Ban/Limit in Place (3); Gathering Ban/Limit Expanded or Lifted (36); New Gathering Ban/Limit in Place (11): No Action (1),,Restaurants Reopened to Dine-in Service (42); Newly Closed to Dine-in Service (1); New Service Limits (7); No Action (1),Closed (9); Reopened (26); Newly Closed (9); New Service Limits (7),Required for General Public (35); Required for Certain Employees (8); Allows Local Officals to Require for General Public (5); No Action (5),,Yes (51); No (0),State Requires (3); State-Insurer Agreement (3); No Action (45),State Requires (9); State-Insurer Agreement (1); No Action (41),For COVID-19 Testing (5); For COVID-19 Testing and Treatment (6); No Action (40),State Requires (16); Expired (2); No Action (33),Grace Period Extended for All Policies (2); Grace Period Extended for All Individual Policies (1); Grace Period Extended for COVID-19 Diagnosis/Impacts Only (3); Expired (11); No Action (34),Active (3); Ended (9); No (39),Approved (51); No Action (0),Enacted (13); Proposed (2); No action (36),No,United States_UnitedStates_Policy,2020-09-12T02:52:55Z,2,-1,UnitedStates_USA
Proceeding with Reopening,Lifted,Lifted,No Action,Expanded to New Limit Above 25,Closed for School Year,Reopened to Dine-in Service,Reopened,Required for Certain Employees,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,Proposed - March 2020,Yes,Utah_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,Utah_UnitedStates
Proceeding with Reopening,Lifted,Rolled Back to Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25 or Fewer,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,No,Yes,No Action,No Action,No Action,No Action,No Action,Ended,Approved,Enacted,Yes,Vermont_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,Vermont_UnitedStates
Proceeding with Reopening,Lifted,No Action,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Closed for School Year,Reopened to Dine-in Service,Closed,Required for General Public,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,Yes,Virginia_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,Virginia_UnitedStates
Paused,Lifted,No Action,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Closed for School Year,New Service Limits,Closed,Required for General Public,No,Yes,No Action,No Action,For COVID-19 Testing and Treatment,State Requires,Expired,Ended,Approved,Enacted,Yes,Washington_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,Washington_UnitedStates
New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,New Limit on Large Gatherings in Place,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Postponed,Yes,No Action,No Action,No Action,State Requires,COVID-19 Diagnosis/Impacts Only,No,Approved,No Action,No,West Virginia_UnitedStates_Policy,2020-09-12T02:52:55Z,6,-1,WestVirginia_USA
Reopened,Lifted,No Action,All Non-Essential Businesses Permitted to Reopen,Lifted,Closed for School Year,Reopened to Dine-in Service,Reopened,Required for General Public,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,No,Wisconsin_UnitedStates_Policy,2020-09-12T02:52:55Z,5,-1,Wisconsin_UnitedStates
Proceeding with Reopening,No Action,Lifted,No Action,Expanded to New Limit Above 25,Closed,Reopened to Dine-in Service,Reopened,Required for Certain Employees,No,Yes,No Action,No Action,No Action,No Action,No Action,No,Approved,No Action,No,Wyoming_UnitedStates_Policy,2020-09-12T02:52:55Z,4,-1,Wyoming_UnitedStates
